IKABED,4.2895
FAPZOO,4.2239
EYIROT01,4.0256
IKABAZ,4.0195
BOZGON,3.9992
BAFMEA03,3.9588
FUJTOV,3.9377
BAFMEA,3.9343
DCLPAB,3.9228
KOBYOP,3.9225
EPUKAC,3.9178
DINWOM11,3.9134
FERFOZ,3.8947
FIDDUT,3.8916
DINWOM10,3.8914
HABSOS,3.8661
GANLEM01,3.8473
KAVHAR,3.8461
BIZNOP,3.8384
BIOXZL,3.8378
GANLEM02,3.8216
ATOZOY,3.8148
ATOZOY01,3.813
GANLEM03,3.8124
GOLHAQ,3.8077
EVAQEY,3.8041
FUJZER,3.802
DUJPEE,3.7924
IGAHIK,3.7703
FECJAA,3.7668
EHEDOK,3.7619
ISOZAS,3.7586
BZDMAZ02,3.7564
BZDMAZ15,3.7558
JESTUX,3.7556
BZDMAZ16,3.7555
DAWRUO,3.7535
BZDMAZ29,3.7519
EGEVET,3.7504
BZDMAZ14,3.7496
BZDMAZ,3.7495
BZDMAZ30,3.7483
BUSLEH,3.748
FENWIG,3.746
GEBTUC01,3.7431
HOKVOU,3.7393
IREWIL,3.7249
HEPJER,3.7056
GEKWOI,3.7001
HUTNUG,3.6965
EGEVIX,3.6905
KASJIY,3.6896
KURBAB,3.6879
JEPLAS,3.6872
ATIMOG,3.6837
HIQQON,3.6827
JEDSAN,3.678
ISOXAZ,3.67
BUSLAD,3.6614
IBECOK,3.6597
JEPLAS01,3.6527
KIFZAA,3.6454
BZDMAZ03,3.6452
CONMIE,3.6369
KAQXEG,3.6359
IJUVAM,3.6326
BZDMAZ04,3.6288
DIBDEY01,3.6237
KAMBEG,3.6235
HEHMUE,3.6231
KOWYEA02,3.6178
JEDRUG,3.6155
BOLKUL,3.6086
CAVSAU,3.6069
BZDMAZ13,3.6047
EJEGIJ,3.6045
HAGLUZ,3.6011
GURCAY,3.5969
EJEQEQ,3.5901
HEZZET,3.5857
KOHJIA,3.5839
EMIKAM,3.5826
BZDMAZ12,3.5820000000000003
CIMPIA,3.5809
CONYEJ01,3.5775
JAKGOS,3.5754
BZDMAZ08,3.5749
HOQTEO,3.5743
HARMEV,3.5741
DIQLEU,3.5725
IWAPOM,3.5723
BZDMAZ09,3.5721
GEZCUJ,3.5701
JEVHIC,3.5683
INOSIN10,3.5657
HOZDOQ,3.5651
HISFUN,3.5608000000000004
DOPBIU,3.5604
EBIXOE,3.5581
GIFYEC,3.5512
BZDMAZ10,3.5508
CIZPUZ,3.5481
BZDMAZ11,3.5450000000000004
KOHJOG,3.5432
FOVVUH,3.5431
AWEGOY,3.5409
ETIQOO,3.5398
AKAXER,3.5380000000000003
HUTPES,3.5366
JELGOX,3.5355000000000003
KODVOP,3.5344
KUVJER,3.5337
FOWNEL,3.5322
ARADEN10,3.5291
DOKVIJ,3.5246
EGOMOD,3.5229
GILJIV,3.5210000000000004
DIGTET,3.5179
HOKVIO,3.5165
FADFEW,3.5152
AVISOO,3.5125
EVETIJ,3.5121
JEDTIW,3.5076
EWINUV,3.5074
JEJWIE,3.5071
ABENUR,3.5067
AWEGOY02,3.5046
EHABEV,3.5038
COGSAU,3.5037
FOVVUH01,3.5026
BIMZOC,3.502
EHABEV01,3.501
HICFEE,3.5
JAHLAF,3.5
FEYSUZ,3.4993
HICFEE01,3.4982
ACNPOL,3.4966
DAPJIQ,3.4948
EDELIJ,3.4942
FEFHOQ,3.4942
ETONAC,3.4937
CEJDUT,3.4886
ETBZIM04,3.4884
ETBZIM02,3.4881
JEVHOI,3.488
DUDBOT,3.487
JEBCOL,3.4858
